,0,1,2,3
"(0, 0)",-0.011562580027607178,-0.011567307021809043,-0.011562161835601789,-0.011562944191192836
"(1, 0)",-0.011546911513678988,-0.01154824101293016,-0.011550483561833738,-0.011548152076673665
"(2, 0)",-0.011535368626377997,-0.011532804892807292,-0.011534059094105077,-0.01153393163252818
"(2, 1)",-0.011516583477882206,-0.011513993487218873,-0.011515427158726308,-0.01152059142350119
"(3, 1)",-0.011507585248902046,-0.011505315863910801,-0.011507163890951718,-0.011507297018687693
"(4, 1)",-0.01149374902368312,-0.011491224450089429,-0.01149429008886302,-0.011492640995386532
"(5, 1)",-0.011479145838520246,-0.011476938633085612,-0.011478926185153414,-0.011479495871646204
"(5, 0)",-0.011462248459004365,-0.011465903550909623,-0.01146240178281982,-0.01146475750545118
"(6, 0)",-0.011450198161281004,-0.011450952113033633,-0.011450677347469814,-0.011451058422951388
"(7, 0)",-0.011436000755967873,-0.011432947656667074,-0.011437354920428562,-0.011435635562208694
"(8, 0)",-0.01142244616947205,-0.011420623445808645,-0.01141972714973055,-0.011421204117209696
"(9, 0)",-0.011407463886134726,-0.01140398852971924,-0.011407144496359923,-0.011404953439809294
"(9, 1)",-0.011386117485190528,-0.011387827799218,-0.011385197242266332,-0.011382493900920736
"(9, 2)",-0.011367631086005804,-0.01136868102467238,-0.011374795652512664,-0.011368748232832175
"(4, 0)",-0.011464257366562161,-0.011461884487342073,-0.011470859148820843,-0.01146448476716403
"(3, 0)",-0.01147238007439041,-0.01147126970643985,-0.01147099851493666,-0.011472772195846912
"(8, 2)",-0.01135709543186536,-0.011360805942121374,-0.011359656609228264,-0.011358032190456138
"(7, 2)",-0.011341774523577318,-0.011342499576359895,-0.011340956412509732,-0.011344715469693194
"(7, 3)",-0.011326472472093582,-0.011328579583927334,-0.011327583294203882,-0.011329188459999067
"(7, 4)",-0.011315233597957925,-0.011316349011302648,-0.01131435557059138,-0.011314541710215445
"(8, 4)",-0.011297360684498962,-0.011295454681905168,-0.011302812808492987,-0.011295583869102805
"(8, 5)",-0.01128071406640857,-0.011277748658719411,-0.01128170055350004,-0.011280744545807901
"(9, 5)",-0.011261417443170694,-0.011264048503917025,-0.011266128500505622,-0.011264273113175252
"(10, 5)",-0.011246647716159353,-0.011247828252628704,-0.011249354471721332,-0.011247134033036604
"(11, 5)",-0.011230160680984813,-0.011231353817492597,-0.01123207880758126,-0.01122893938017707
"(11, 4)",-0.011213974660088766,-0.011213696987417891,-0.011215002423724566,-0.011214384687399367
"(11, 3)",-0.011194628007411483,-0.011197539935969385,-0.011192587117669989,-0.01119274638021134
"(11, 2)",-0.011176164713224131,-0.011174795001009357,-0.011177992001406964,-0.01117437855325774
"(10, 2)",-0.011161641356428371,-0.011159525599725358,-0.011159024323969521,-0.011160143789593614
"(10, 1)",-0.011141703437907229,-0.011143643868347864,-0.011143232797158304,-0.011144246734590734
"(10, 3)",-0.011162452348346289,-0.011157397607270426,-0.011160019504212774,-0.011158773781232784
"(11, 1)",-0.011127081614866073,-0.011128459118487002,-0.011125523001874717,-0.01112742435039452
"(9, 3)",-0.011160712167413024,-0.011159545128988506,-0.011159402084063477,-0.011162056250270308
"(8, 3)",-0.011158542702497604,-0.011159924674708095,-0.011160953564592553,-0.011160996633851549
"(12, 1)",-0.011110674798017696,-0.011111476942626028,-0.011109747629300344,-0.01110964591202382
"(13, 1)",-0.011091140614419284,-0.011088003150364399,-0.011090487316116041,-0.011088362693353481
"(13, 0)",-0.011076145497657845,-0.011071678178480428,-0.01107257267569372,-0.0110775794732754
"(14, 0)",-0.011058353319517237,-0.011061527103065768,-0.011061589027741304,-0.011058249324742407
"(12, 0)",-0.011070263424439428,-0.011071083790986697,-0.011071122777745477,-0.011075026321862292
"(11, 0)",-0.011067929593719284,-0.01106852100638729,-0.011069922484549471,-0.01107486265206958
"(15, 0)",-0.011041433987024382,-0.011040029433900632,-0.01104024505258969,-0.011040145733459758
"(15, 1)",-0.011021038535601628,-0.011023886206563645,-0.011019856420928894,-0.011022023861266394
"(16, 1)",-0.011003538952733736,-0.01100367159573226,-0.011005043508182424,-0.011003914860205466
"(16, 2)",-0.010985995676618652,-0.010981173140346733,-0.01098477146680714,-0.010981127326792257
"(15, 2)",-0.010965848057474383,-0.010964751851210073,-0.010964439628803925,-0.010968393527165344
"(14, 2)",-0.010947342720039163,-0.010944701629439422,-0.010943504522071934,-0.010945483588386366
"(14, 3)",-0.010926259708124657,-0.010927182903847045,-0.010925391426963586,-0.010928988256644154
"(14, 4)",-0.010908176125956051,-0.010905847241987218,-0.01090806514572725,-0.01091219562821634
"(13, 4)",-0.010888692150401258,-0.010889888224203715,-0.010890464601578534,-0.010887892657534195
"(13, 5)",-0.010870507371554318,-0.010872505399758045,-0.010873028921243925,-0.010870698802653529
"(14, 1)",-0.010946556822895297,-0.010949396458329567,-0.010948922421699599,-0.010947196289287439
"(10, 0)",-0.011075734707313106,-0.01107015605567924,-0.01107659340426032,-0.01107280313709748
"(9, 4)",-0.011161192954528642,-0.011157058962806414,-0.011159559764141787,-0.011160271161842263
"(10, 4)",-0.011159475096929657,-0.011161765211496153,-0.011161976643286982,-0.011157286207570172
"(12, 5)",-0.010851684395309596,-0.010853455979389066,-0.010853428122705653,-0.01085682955547984
"(12, 4)",-0.010851575994027673,-0.010854135206256861,-0.010849753926597762,-0.010854083516765011
"(12, 3)",-0.010854756390445596,-0.01085416462363255,-0.010858188976546543,-0.010861550986895958
"(13, 3)",-0.010861172168182559,-0.010861834692656959,-0.010862560078779443,-0.010863363005397772
"(12, 6)",-0.010836980891524189,-0.010830223085100824,-0.01083578143527151,-0.010832537401908551
"(13, 6)",-0.010812708330268045,-0.010812984580820886,-0.010814818726902448,-0.010810105506491412
"(13, 2)",-0.010859374975457376,-0.010863020738620253,-0.010865576817304962,-0.01086257757729023
"(12, 2)",-0.010863604076389588,-0.010863667429979343,-0.010866193886626314,-0.010866452859936218
"(13, 7)",-0.010793155547306076,-0.010793100512556693,-0.010798166179998007,-0.010793010486669346
"(13, 8)",-0.010772971143421569,-0.010774042646975767,-0.010771645983188857,-0.010773840749983919
"(13, 9)",-0.010754621701105794,-0.010753158524014383,-0.010753189320319519,-0.01075147303242538
"(13, 10)",-0.01073072705837529,-0.010733358176663656,-0.010731491206631756,-0.010733508933231054
"(14, 10)",-0.010709216626505199,-0.010713090505907819,-0.01071316966490999,-0.010711772087536804
"(15, 10)",-0.010691731607954887,-0.010693993597862966,-0.010691956241686805,-0.010691873507941534
"(16, 10)",-0.010672176393369807,-0.0106735038278064,-0.010671846211906923,-0.010675014571540277
"(16, 11)",-0.01065559030072232,-0.010660862828811481,-0.010652764085233917,-0.010654920781859109
"(17, 11)",-0.010634955954472464,-0.01063424423585533,-0.010638411657481922,-0.010633105724793623
"(17, 12)",-0.01061869742174025,-0.01061007927838165,-0.010611230302896322,-0.010613985230752064
"(16, 12)",-0.010589128683003034,-0.01058581464190905,-0.010588334014404462,-0.01059230645112509
"(15, 12)",-0.010563955931413283,-0.010562337852014098,-0.010566386737557594,-0.01056494039436797
"(14, 12)",-0.010545935689233609,-0.01054552640359235,-0.01054898615131691,-0.010543735281945627
"(14, 11)",-0.010522462504137827,-0.010524768884839289,-0.010521720597055471,-0.010523870564533957
"(13, 11)",-0.010501640577513485,-0.010499996147947633,-0.010499814723455868,-0.010497476114998633
"(15, 11)",-0.010530718699157048,-0.010521823161901355,-0.010526800623983264,-0.01052311778252331
"(12, 11)",-0.010476329097856231,-0.010478119618389932,-0.010478743548050963,-0.010475147246795975
"(12, 12)",-0.010453736424139997,-0.010458473401850198,-0.010456621799891283,-0.01045758746128825
"(11, 12)",-0.010433708532953733,-0.010434812180252098,-0.010431794229527912,-0.010432597937738515
"(11, 11)",-0.01040939192210847,-0.010410046290760708,-0.01041354781274624,-0.010413462978940004
"(10, 11)",-0.010392914551202984,-0.010390938658210464,-0.010391148913574176,-0.010393929313544792
"(10, 12)",-0.01037068864259216,-0.010366010939933003,-0.010367033502489843,-0.010366128612408591
"(9, 12)",-0.01034328406220504,-0.010346675570405367,-0.01034277853164567,-0.010345740580324319
"(9, 11)",-0.010320131292069988,-0.010321490279444625,-0.010318629497188741,-0.01031824707814065
"(8, 11)",-0.010299872290961099,-0.010294988372033883,-0.010297163061120726,-0.010295677326188099
"(8, 12)",-0.010271767395434466,-0.010271829265320427,-0.010271264805102527,-0.0102739263870721
"(8, 13)",-0.010249382126047705,-0.01025085049630286,-0.010247685029157343,-0.010254310273843659
"(7, 13)",-0.010228247334432238,-0.010225616965908622,-0.010224414787055495,-0.010224322770732106
"(6, 13)",-0.010204528947371257,-0.010198616530726009,-0.010200885825726551,-0.010200960936625501
"(6, 14)",-0.01017272926574322,-0.010176575691057607,-0.010175435072231117,-0.010175078061709619
"(5, 14)",-0.01014774869408343,-0.010149394807411337,-0.01014936005472528,-0.010151942306362169
"(4, 14)",-0.010124448592475788,-0.010125279526868671,-0.010124004247579086,-0.010124969517476344
"(4, 15)",-0.010102988242710307,-0.010099041586670465,-0.010100762016064281,-0.01009955673987206
"(5, 15)",-0.010068995015625257,-0.010070157007150174,-0.010078110277599365,-0.010071463331738018
"(5, 16)",-0.010042645458521047,-0.010045214284247227,-0.010045854345857483,-0.010047460712075294
"(5, 17)",-0.01001891620184381,-0.010020883769093769,-0.010016704488881778,-0.010018764696576875
"(6, 17)",-0.009992535436950327,-0.009990464058265317,-0.009992059773826428,-0.009990595904524436
"(7, 17)",-0.009963697242784538,-0.009961565040777411,-0.00996167684382145,-0.00996651653493968
"(7, 16)",-0.009936908125449465,-0.009937426591716224,-0.009935822446593178,-0.009937399080692404
"(7, 15)",-0.009910312609667364,-0.009911695388482078,-0.009909159545220564,-0.009909430865292945
"(7, 14)",-0.009882853384941536,-0.009887136580813652,-0.009879501962100898,-0.009882675285553465
"(8, 14)",-0.009852868064285123,-0.009855192559564782,-0.0098584180287233,-0.009856482213257226
"(8, 15)",-0.009832966034286177,-0.009826097357828875,-0.009823084619629014,-0.00982565952474427
"(6, 15)",-0.009902390687123102,-0.009902625220398373,-0.009907000047555585,-0.009912125135515036
"(6, 16)",-0.009906829823292494,-0.009903856808859005,-0.009905203054613804,-0.009901385196493051
"(9, 15)",-0.009795371983324551,-0.009797015191248384,-0.009801249004376258,-0.009793380587054482
"(9, 14)",-0.009765570725994847,-0.009768637619942705,-0.009765640417212954,-0.009762650206015747
"(9, 13)",-0.009737015631883875,-0.009736352809876732,-0.009737856430428236,-0.009738336388778447
"(10, 13)",-0.00970848400605342,-0.009717552533717843,-0.00971739860700116,-0.009710981884886354
"(11, 13)",-0.009676997999794587,-0.009675263780993263,-0.009689131333491738,-0.009676931702401978
"(12, 13)",-0.00964816814788519,-0.00964694509879966,-0.00964581462340483,-0.009646295353135157
"(13, 13)",-0.009617151063778567,-0.009612933717257872,-0.009615535555780834,-0.009615451530010652
"(14, 13)",-0.009583616040747957,-0.009582056576868626,-0.00958329815969378,-0.009584830340959291
"(15, 13)",-0.009548435171133653,-0.009551804122361736,-0.009555735127742665,-0.009550067942238106
"(16, 13)",-0.009520374842701343,-0.009515904547660395,-0.009515963082287597,-0.009518614591199683
"(17, 13)",-0.009487204775570844,-0.009486117640096494,-0.009488377939691666,-0.009489254082612072
"(13, 12)",-0.00961660691726465,-0.009619596295033053,-0.009618316183529912,-0.009616977039769048
